"Angeo","Angeo"
"Robots.txt AEO","Robots.txt AEO"
"General","General"
"Enable AI Bot Rules","Enable AI Bot Rules"
"Injection Mode","Injection Mode"
"Custom robots.txt Content (Replace mode)","Custom robots.txt Content (Replace mode)"
"AI Crawlers","AI Crawlers"
"AI Crawler Path Overrides","AI Crawler Path Overrides"
"Allow paths","Allow paths"
"Disallow paths","Disallow paths"
"Crawl-delay (seconds)","Crawl-delay (seconds)"
"Sitemap Directive","Sitemap Directive"
"Sitemap source","Sitemap source"
"Custom sitemap URLs","Custom sitemap URLs"
"One URL per line. Used only when source is ""Custom"".","One URL per line. Used only when source is ""Custom""."
"Live Preview","Live Preview"
"Angeo Robots.txt AEO Dashboard","Angeo Robots.txt AEO Dashboard"
"Configuration","Configuration"
"Open Config →","Open Config →"
"Actions","Actions"
"Validate Live robots.txt","Validate Live robots.txt"
"Refresh Preview","Refresh Preview"
"Bot Status","Bot Status"
"User-Agent","User-Agent"
"Status","Status"
"Description","Description"
"Enabled","Enabled"
"Disabled","Disabled"
"Mode","Mode"
"Live robots.txt","Live robots.txt"
"Enabled bots","Enabled bots"
"Path ""%1"" looks like a full URL. Allow/Disallow values must be site-relative paths (e.g. /catalog/).","Path ""%1"" looks like a full URL. Allow/Disallow values must be site-relative paths (e.g. /catalog/)."
"Crawl-delay must be a non-negative number, got ""%1"".","Crawl-delay must be a non-negative number, got ""%1""."
"Crawl-delay must be ≥ 0, got %1.","Crawl-delay must be ≥ 0, got %1."
"Bot Verification","Bot Verification"
"Additional trusted signing origins","Additional trusted signing origins"
"Where to write the signals","Where to write the signals"
"Include the short policy explanation","Include the short policy explanation"
"Applebot-Extended (Apple model training)","Applebot-Extended (Apple model training)"
"CCBot (Common Crawl)","CCBot (Common Crawl)"
"Bytespider (ByteDance training)","Bytespider (ByteDance training)"
"MistralAI-User (Le Chat user fetch)","MistralAI-User (Le Chat user fetch)"
"DuckAssistBot (DuckDuckGo AI answers)","DuckAssistBot (DuckDuckGo AI answers)"
"meta-externalfetcher (Meta AI user fetch)","meta-externalfetcher (Meta AI user fetch)"
